,Homo_sapiens,Macaca_mulatta,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Carlito_syrichta,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mus_musculus,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rattus_norvegicus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sarcophilus_harrisii,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
CXCR3,NM_001504.1,NM_001145040.1,XM_002930578.2,XM_012435588.1,NM_001011673.1,XM_017968785.1,XM_010978776.1,NM_001011887.2,NM_001285723.1,XM_008070919.1,XM_013153669.1,xm_004439841.2,XM_012060758.1,XM_005401676.2,XM_007992040.1,XM_006868557.1,XM_012733923.1,XM_007634397.2,XM_004475810.1,XM_013031647.1,XM_004716696.1,xm_006895985.1,XM_008157610.1,XM_001493611.5,XM_007538252.1,XM_004000623.2,XM_008591064.1,XM_004064367.1,XM_004872655.1,XM_005339940.1,XM_004660914.1,XM_010592722.1,XM_005593931.2,XM_011732737.1,XM_011992074.1,XM_017672942.1,XM_005081206.2,XM_012736182.1,XM_005358559.1,XM_016207382.1,xm_016426537.1,NM_009910.3,XM_004777248.2,XM_017794964.1,XM_003281881.1,XM_004595275.1,XM_004646811.1,XM_012561107.1,XM_004275744.1,XM_002720089.3,XM_003801738.2,XM_004022179.3,XM_003820129.1,XM_016944174.1,XM_003917864.3,XM_002831790.1,XM_012643375.1,XM_011371417.1,NM_053415.1,XM_010366589.1,XM_016151082.1,XM_003943101.1,XM_012553373.1,XM_012935696.1,XM_003135179.4,xm_012556620.1,XM_006172236.2,XM_004325425.1
CXCR4,NM_003467.2,NM_001042645.1,XM_002927676.2,XM_012476739.1,NM_174301.3,XM_002749474.4,XM_010983946.1,NM_001048026.1,XM_005676186.2,XM_008071442.1,XM_005007706.2,xm_004423860.1,NM_001308336.1,XM_005390768.2,XM_007964858.1,XM_006834573.1,XM_004674688.2,XM_007616432.1,XM_004480155.2,XM_013030830.1,XM_004703880.1,XM_006894445.1,XM_008143484.1,XM_005601469.2,XM_007525014.2,NM_001009826.1,XM_008574343.1,XM_004032598.1,XM_004836118.1,XM_005315834.1,XM_004668151.1,XM_003405856.2,NM_001319396.1,XM_011759807.1,XM_011970267.1,XM_017667071.1,XM_005079873.2,XM_012740118.1,XM_005348230.1,XM_016205135.1,XM_007494109.2,XM_006529113.3,XM_004774250.2,XM_008833655.2,XM_003267609.3,XM_004589368.2,XM_004626383.1,XM_004403541.1,XM_004265449.1,XM_002712124.3,XM_003794384.2,NM_001277168.1,XM_003822819.2,NM_001009047.1,NM_001112630.1,XM_002812445.3,XM_012650526.1,XM_011354478.1,NM_022205.3,XM_010371565.1,XM_016145420.1,XM_003922001.2,xm_012540048.1,XM_004616514.2,NM_213773.1,xm_004375098.1,NM_001287366.1,xm_004325574.1
CXCR5.1,nm_001716.4,xm_001100017.3,xm_002929603.2,xm_012470361.1,nm_001011675.1,xm_009006995.1,xm_010981363.1,xm_546496.4,xm_018059700.1,xm_008069533.1,xm_003472789.2,xm_004427245.2,xm_012053033.1,xm_005378282.2,xm_008021125.1,xm_006833988.1,xm_004689200.1,xm_016968159.1,xm_004456303.2,xm_013009441.1,xm_013007281.1,xm_006890889.1,xm_008150093.1,xm_005610608.2,xm_007523632.2,xm_003992421.3,xm_008577889.1,xm_004052235.1,xm_013076585.1,xm_013359949.1,xm_012950903.1,xm_003406069.1,xm_005579862.2,xm_011732288.1,xm_011964899.1,xm_017673373.1,xm_013112907.1,xm_012773596.1,xm_005347512.1,xm_016207692.1,xm_007494679.2,nm_007551.2,xm_004749972.2,xm_008826046.1,xm_003253254.3,xm_004585241.1,xm_004636536.1,xm_004412615.1,xm_004273325.1,xm_002722702.3,xm_012809609.1,xm_012095548.2,xm_003820031.3,xm_009424295.2,xm_003910794.3,xm_002822562.1,xm_012655397.1,xm_011384871.1,xm_006242901.3,xm_010389327.1,xm_016139327.1,xm_003923622.2,xm_012547777.1,xm_004604735.1,xm_003129915.3,xm_004385650.1,xm_014589278.1,xm_004313075.1
CXCR6,NM_006564.1,XM_015131078.1,XM_002912759.2,XM_012470780.1,NM_001014859.1,XM_008981526.2,XM_010982753.1,XM_846798.3,XM_018067085.1,XM_008071388.1,XM_013160312.1,xm_004419605.2,XM_012033346.1,XM_005383457.2,XM_007983939.1,XM_006868825.1,XM_012735066.1,XM_007648318.2,XM_004453169.2,,XM_013005050.1,XM_006893004.1,XM_008154278.1,XM_005600758.2,XM_007531441.1,XM_011291106.1,XM_008579212.1,XM_004034001.1,XM_004835034.1,XM_005332910.1,XM_012949571.1,XM_003409698.2,XM_005546891.2,XM_011739016.1,XM_011981079.1,XM_017640622.1,XM_013122234.1,XM_012770315.1,XM_005348168.2,XM_016202775.1,,NM_030712.4,XM_013060543.1,XM_008831918.2,xm_003256973.2,XM_004581408.1,XM_004640769.1,XM_004399149.1,XM_004283845.2,XM_008260513.2,XM_012808059.1,XM_004018516.3,XM_003818477.2,NM_001009051.1,XM_003894543.3,XM_002813837.2,XM_012638026.1,XM_011357334.1,NM_001102587.1,XM_010374797.1,XM_016141349.1,XM_003926253.2,,XM_004614521.1,NM_001001623.1,xm_004368457.1,XM_014584867.1,XM_004323300.1
XCR1,NM_005283.2,XM_001114260.2,XM_011222736.1,XM_012470781.1,XM_005223097.3,XM_008981531.2,XM_010982752.1,XM_005632632.2,XM_005696043.3,XM_008071387.1,xm_013160069.1,xm_014791326.1,XM_012033354.1,xm_013513345.1,XM_007983942.1,XM_006868816.1,XM_004676245.1,XM_003507726.1,XM_004453171.2,XM_013030285.1,XM_004704169.1,XM_006893046.1,XM_008154270.1,XM_005600757.2,XM_007531453.1,XM_006928677.2,XM_008579214.1,XM_004034005.1,XM_004835033.1,XM_005342996.2,XM_004662145.1,XM_003409697.1,XM_015445773.1,XM_011739033.1,XM_011981077.1,XM_017640617.1,XM_005082283.1,XM_012770411.1,XM_005348171.1,XM_016202736.1,,NM_011798.4,XM_013060761.1,XM_008831917.1,XM_003256979.1,XM_004581409.1,XM_004640678.1,XM_004399150.1,XM_012538277.1,XM_008260516.2,XM_003794568.1,XM_015102461.1,XM_003818472.2,XM_001148795.4,XM_003894542.3,XM_002813834.1,XM_012653366.1,XM_011357333.1,NM_001106871.1,XM_010374795.1,XM_016141353.1,XM_003926256.2,XM_003771990.1,XM_004614520.1,XM_013981578.1,xm_004368458.1,XM_006170128.2,XM_004324550.1
ADCYAP1R1,NM_001118.4,XM_015133765.1,XM_011225034.1,XM_012475136.1,XM_010804298.1,XM_003733567.3,XM_010988054.1,XM_005628692.2,XM_018047118.1,XM_008051431.1,XM_013150500.1,xm_004418858.2,XM_012083157.1,XM_013510665.1,XM_007981694.1,XM_006832272.1,XM_012721050.1,XM_003503920.1,XM_004463307.2,XM_013035140.1,XM_004702861.1,XM_006902788.1,XM_008147531.1,XM_003364835.3,XM_007531001.2,XM_003982910.3,XM_008589160.1,XM_004045269.1,XM_013076522.1,XM_005319279.2,XM_012947584.1,XM_003406992.2,XM_015447555.1,XM_011731355.1,XM_011972190.1,XM_017665193.1,XM_013118230.1,XM_012735849.1,XM_005360803.1,XM_016222319.1,XM_016427038.1,NM_001025372.2,XM_013061508.1,XM_008827528.1,XM_003270319.2,XM_004582394.2,XM_004626533.1,XM_004413943.2,XM_004269934.2,XM_002713740.3,XM_003788556.1,XM_015095317.1,XM_003833387.2,XM_016958690.1,XM_003896137.2,XM_009242881.1,XM_012640694.1,XM_011362506.1,NM_001270582.1,XM_010365071.1,XM_016123847.1,XM_003935187.2,xm_012544110.1,XM_004606908.1,NM_001199808.1,xm_004385327.2,XM_006146245.1,xm_004323448.1
ADGRA1,NM_001083909.2,xm_015148500.1,xm_011217485.1,XM_012474207.1,NM_001205846.1,XM_008978955.2,xm_010998313.1,XM_005637921.2,XM_018041698.1,xm_008048359.1,XM_003479595.3,xm_014794101.1,XM_012088864.1,XM_005402051.2,xm_008019398.1,xm_006867483.1,,XM_007609729.1,XM_012521842.1,XM_013035493.1,XM_004701221.1,xm_006880118.1,xm_008144375.1,XM_014733426.1,XM_016192787.1,xm_006938288.2,xm_008583755.1,xm_004050301.1,XM_004838698.2,XM_013356532.1,XM_012951473.1,xm_010599251.1,XM_015456895.1,XM_011723470.1,XM_011980827.1,XM_017657678.1,XM_013114220.1,XM_012746992.1,XM_005351449.1,XM_016206332.1,xm_016427415.1,XM_006536203.3,XM_004781887.1,XM_008823161.1,XM_012505670.1,XM_012925502.1,XM_012513493.1,XM_012560510.1,XM_004265695.1,XM_002724189.2,XM_012807783.1,,XM_008969313.1,XM_016919664.1,XM_003904433.3,xm_009245949.1,XM_012660680.1,xm_011372606.1,XM_017590242.1,xm_010382744.1,XM_016157588.1,xm_010333325.1,,XM_012934804.1,XM_005658762.1,xm_012555156.1,XM_006146937.2,xm_004327050.1
ADGRA2,NM_032777.9,XM_015145160.1,xm_011222341.1,XM_012475942.1,xm_015469746.1,XM_002807488.3,xm_010981132.1,XM_539968.5,XM_018041966.1,xm_008072383.1,XM_003462885.3,xm_004428852.2,XM_012070661.1,XM_005398475.2,xm_007962174.1,xm_006859966.1,XM_004682235.2,XM_016969813.1,XM_004469385.2,XM_013024244.1,XM_004696502.2,xm_006896645.1,xm_008146178.1,XM_001915625.4,XM_007516693.2,xm_011281550.1,xm_008587956.1,xm_004046898.1,XM_004855382.1,XM_005338377.2,XM_004671490.1,xm_003412538.2,XM_005563058.2,XM_011732668.1,XM_011993510.1,XM_017674009.1,XM_005066583.2,XM_012762942.1,XM_005362478.1,XM_016210922.1,XM_007476341.2,NM_054044.2,XM_013059286.1,XM_008847598.2,XM_012508318.1,XM_004598503.1,XM_004637261.1,XM_004394413.2,XM_004284873.1,XM_017350335.1,XM_012809254.1,XM_015104529.1,XM_014345901.1,XM_016959331.1,XM_003902647.3,xm_002818997.3,XM_012651088.1,xm_011372200.1,XM_003751617.4,xm_010385314.1,XM_016155236.1,xm_010348742.1,XM_003757991.1,XM_004606938.1,XM_003133366.3,xm_004383397.1,XM_014585063.1,xm_004311808.1
ADGRA3,NM_145290.3,XM_015138107.1,xm_011221195.1,XM_012472442.1,XM_015463732.1,XM_002745946.3,xm_010991045.1,XM_005618659.2,XM_018049336.1,xm_008057941.1,XM_013149978.1,xm_004432314.2,XM_012045322.1,XM_005402467.2,xm_008017754.1,xm_006866290.1,XM_004681374.2,XM_007623454.1,XM_004477759.2,XM_013008895.1,XM_004706308.1,xm_006884506.1,xm_008140346.1,XM_014738559.1,XM_007523879.2,xm_003985491.3,xm_008587225.1,xm_004038494.1,XM_004847210.1,XM_005318923.1,XM_004656090.2,xm_003411288.2,XM_005554582.2,XM_011751479.1,XM_011991308.1,XM_017641114.1,XM_005068781.2,XM_012737487.1,XM_005366017.2,XM_016218221.1,XM_001368101.3,NM_133911.1,XM_013061530.1,XM_017799186.1,XM_003258532.2,XM_004579341.2,XM_004624535.2,XM_012563259.1,XM_004266197.1,XM_008274595.2,XM_012807444.1,XM_015096412.1,XM_003826828.2,XM_001164297.3,XM_003898540.2,xm_002814636.1,XM_012664185.1,xm_011365194.1,XM_003752737.4,xm_010377214.1,XM_016121270.1,xm_010338163.1,XM_003773353.2,XM_004616547.1,XM_013978558.1,xm_004375140.1,XM_014590288.1,xm_004329242.1
ADGRB1,NM_001702.2,XM_015146098.1,xm_011227922.1,xm_012468337.1,XM_015474338.1,XM_017965550.1,xm_011000072.1,XM_014118728.1,XM_018058646.1,xm_008066335.1,XM_013156087.1,xm_014788021.1,XM_012049999.1,XM_013520249.1,xm_008001675.1,xm_006830851.1,xm_012722764.1,XM_007609512.1,xm_012530160.1,XM_013025143.1,XM_013006515.1,xm_006879446.1,xm_008156633.1,xm_014728600.1,XM_007534999.2,xm_011291553.1,xm_008589135.1,xm_004047597.1,XM_013068046.1,XM_013356032.1,XM_004672045.1,xm_003423640.1,XM_015455278.1,XM_011752423.1,xm_012000968.1,xm_017648992.1,XM_013124762.1,XM_012751753.1,XM_013348915.1,XM_016216413.1,XM_007488410.1,NM_174991.3,XM_013051719.1,XM_008851046.1,xm_012507129.1,XM_012925643.1,XM_004638921.1,XM_004405579.1,XM_004265402.1,xm_017350236.1,XM_003803271.2,XM_015097644.1,xm_008972850.2,XM_016959963.1,XM_009213690.2,xm_009244137.1,XM_012647947.1,xm_011374964.1,nm_001170597.2,xm_010385528.1,XM_016139203.1,xm_010329972.1,XM_012541860.1,XM_012934996.1,xm_003482014.3,xm_012558762.1,XM_014589160.1,xm_004314907.1
ADGRB2,NM_001294335.1,XM_015133826.1,xm_011230735.1,XM_012440132.1,XM_010802505.2,XM_009000801.2,xm_010976092.1,XM_014109928.1,XM_018057542.1,xm_008066762.1,XM_003471216.3,xm_014784090.1,XM_012079723.1,XM_013519736.1,xm_007979623.1,xm_006862176.1,XM_012722764.1,XM_016970330.1,XM_012530158.1,XM_013020542.1,XM_013005263.1,xm_006894949.1,xm_008157026.1,XM_014737520.1,XM_016192959.1,xm_006934526.2,xm_008581451.1,xm_004025348.1,XM_004850828.2,XM_013364795.1,XM_004665284.2,xm_010595157.1,XM_015439198.1,XM_011763191.1,XM_011974023.1,XM_017660313.1,XM_013120192.1,XM_012765448.1,XM_005353165.1,XM_016217490.1,XM_016433353.1,XM_011240508.1,XM_004740941.2,XM_017802015.1,XM_012510827.1,XM_004591637.2,XM_004642934.2,XM_004406400.2,XM_012531818.1,XM_017350236.1,XM_012812000.1,XM_015092851.1,XM_008953478.1,XM_016958040.1,XM_017959157.1,NM_001132773.1,XM_012642219.1,xm_011357819.1,XM_017593334.1,xm_010353817.1,XM_016150398.1,xm_010348145.1,XM_003775292.2,XM_012931624.1,XM_013999097.1,xm_012554252.1,XM_006158124.2,xm_004313850.1
ADGRB3,NM_001704.2,XM_015136641.1,xm_002920041.2,XM_012471889.1,xm_002689999.3,XM_002746711.3,xm_010975275.1,XM_538991.5,XM_005688755.3,xm_008062739.1,XM_013141904.1,xm_014782583.1,XM_012067323.1,XM_005404463.2,xm_008013602.1,xm_006835746.1,XM_004673604.2,XM_007635492.1,XM_004469490.2,XM_013032264.1,XM_004696325.1,xm_006899477.1,xm_008139494.1,XM_014734522.1,XM_016193840.1,xm_011282404.1,xm_008575133.1,xm_004044264.1,XM_004846114.2,XM_005334421.1,XM_004653066.2,xm_010586821.1,XM_015449250.1,XM_011737486.1,xm_011976946.1,XM_017658974.1,XM_013125561.1,XM_012752557.1,XM_005359883.2,XM_016195549.1,XM_001365288.3,NM_175642.4,XM_004769290.2,XM_008856279.2,XM_003271086.2,XM_004580472.2,xm_004634385.2,XM_004399970.2,XM_004270131.1,XM_002714524.3,XM_003789674.1,XM_004011580.3,XM_003809553.3,XM_003311398.3,xm_017957978.1,xm_009241998.1,XM_012650418.1,xm_011361182.1,NM_001106898.1,xm_010371613.1,XM_016157597.1,xm_010337125.1,XM_003769193.2,XM_004605882.1,xm_013992624.1,xm_004381354.1,XM_006159627.2,
ADGRD1,NM_198827.4,XM_001104579.3,xm_011237656.1,XM_012455940.1,XM_005217662.3,XM_009004910.2,xm_011000370.1,XM_543354.4,XM_018061421.1,xm_008069382.1,XM_013148999.1,xm_014787248.1,XM_012071492.1,XM_005402987.2,xm_008005234.1,xm_006874081.1,XM_012731179.1,XM_007653652.2,XM_012524107.1,XM_013023037.1,XM_004709748.1,xm_006900996.1,xm_008157288.1,XM_001494181.4,XM_016190886.1,xm_011287690.1,xm_008592547.1,xm_004054165.1,XM_004844001.2,XM_013363352.1,XM_012951297.1,xm_010600823.1,XM_005572634.2,XM_011756279.1,XM_011981953.1,XM_017644416.1,XM_005080588.2,XM_012779727.1,XM_013350268.1,XM_016203120.1,XM_007489615.1,XM_006504307.1,XM_004778199.2,XM_017803376.1,XM_003276131.1,XM_012929851.1,XM_004635955.1,XM_012567764.1,XM_004276633.1,XM_008250413.2,XM_003802596.2,XM_004017305.3,XM_003817845.2,XM_016924651.1,XM_003907396.3,xm_002823995.2,XM_012657647.1,,XM_017598511.1,xm_010354988.1,XM_016145971.1,xm_003937091.2,XM_012542331.1,XM_004611122.1,XM_003483408.2,xm_004385050.1,XM_006147339.2,
ADGRE1,NM_001974.4,xm_015122649.1,xm_011217765.1,XM_012436303.1,xm_010798273.2,XM_017967273.1,xm_010978229.1,XM_005632337.1,XM_018050946.1,xm_008051474.1,xm_013145546.1,xm_014795931.1,XM_012073317.1,XM_013505356.1,xm_007995015.1,xm_006869008.1,XM_004688854.1,XM_007642457.2,xm_012525557.1,XM_013022674.1,XM_004714327.1,xm_006896411.1,xm_008160182.1,XM_014741080.1,xm_007537567.1,xm_011288350.1,xm_008591687.1,xm_004059865.1,XM_004865653.1,XM_013361405.1,XM_012947996.1,xm_010601048.1,XM_015440864.1,XM_011750306.1,XM_011967446.1,XM_017667954.1,XM_013121433.1,XM_012761740.1,,XM_016197952.1,XM_016432146.1,XM_006523602.1,XM_004771619.2,XM_017799094.1,XM_012509497.1,XM_004595864.2,XM_012515072.1,XM_004417052.1,XM_012535766.1,xm_008253569.2,XM_012810143.1,XM_012178002.2,XM_003819352.1,XM_016934843.1,XM_017951970.1,xm_002828533.2,XM_012646118.1,xm_011373613.1,NM_001007557.1,xm_010385105.1,XM_016145532.1,xm_010349660.1,xm_012543848.1,XM_004619466.1,XM_013987321.1,xm_012556116.1,XM_006170233.2,xm_004326633.1
ADGRE2,NM_013447.3,NM_001038662.1,xm_011217363.1,xm_012457798.1,xm_015464013.1,xm_003735501.2,xm_010998915.1,NM_001038667.1,xm_018051687.1,xm_008060975.1,xm_013156906.1,xm_014797641.1,xm_012094147.1,xm_013512170.1,xm_007996098.1,xm_006874326.1,xm_012728937.1,xm_016966245.1,xm_004472495.2,xm_013034174.1,XM_004715566.2,xm_006900808.1,xm_008157963.1,xm_014741442.1,XM_016194526.1,xm_011290034.1,xm_008563367.1,xm_004060174.1,xm_013068385.1,xm_013363247.1,xm_004665799.1,xm_010593489.1,XM_005588260.2,XM_011749931.1,XM_011981808.1,xm_017648001.1,xm_005081404.2,XM_012758409.1,xm_005363932.2,XM_016219665.1,xm_007489046.1,nm_139138.3,xm_004748203.2,xm_008855406.2,xm_012509281.1,xm_004595841.1,xm_012515074.1,xm_012567012.1,xm_004277682.1,XM_008251418.2,xm_012813982.1,XM_015095609.1,XM_008959142.1,XM_016935332.1,XM_009193726.2,xm_002828778.3,XM_012642745.1,xm_011386116.1,xm_006255279.3,xm_010361555.1,xm_016143063.1,xm_010352469.1,,xm_004619465.1,xm_013987444.1,xm_012559522.1,xm_006172418.1,xm_004312281.1
ADGRE3,NM_032571.4,xm_015123147.1,xm_011217139.1,XM_012457738.1,XM_015464022.1,xm_008987432.2,xm_010999812.1,NM_001038666.1,XM_018051172.1,xm_008059482.1,xm_013149965.1,xm_014796858.1,XM_012094176.1,XM_013505366.1,xm_007996097.1,xm_006874324.1,XM_004688232.1,,xm_004451686.1,XM_013034201.1,xm_004715566.2,xm_006900808.1,xm_008157965.1,XM_005611833.2,XM_016192255.1,xm_011290068.1,xm_008566051.1,xm_004065450.1,XM_013068385.1,XM_005336303.2,xm_004665799.1,xm_003413327.1,XM_015440203.1,XM_011749941.1,XM_011981810.1,XM_017655183.1,,XM_012758295.1,,XM_016219664.1,xm_007489046.1,nm_139138.3,XM_004748211.2,XM_017799093.1,XM_003275865.2,,xm_012515072.1,XM_004399015.1,XM_004277409.2,xm_008251418.2,XM_003798006.1,XM_012177788.2,XM_008959143.1,XM_016935324.1,XM_017952267.1,NM_001132506.1,XM_012642734.1,xm_011384515.1,,xm_010361558.1,XM_016144066.1,xm_010352468.1,xm_012543850.1,xm_004619465.1,xm_013987446.1,xm_004389763.1,XM_006161020.2,xm_004312281.1
ADGRE5,NM_078481.3,XM_015123134.1,xm_011227241.1,XM_012457798.1,XM_005208603.3,XM_003735501.2,xm_010999802.1,NM_001048110.1,XM_018051183.1,xm_008060975.1,XM_013156906.1,xm_014796856.1,XM_012094147.1,XM_013512170.1,xm_007995521.1,xm_006874320.1,XM_012729197.1,XM_016966245.1,XM_004453386.2,XM_013034235.1,XM_013007945.1,xm_006900814.1,xm_008157970.1,xm_014741442.1,XM_016192284.1,xm_011290044.1,xm_008566047.1,xm_004060171.1,XM_013068371.1,XM_005336301.2,XM_012952382.1,xm_010593493.1,XM_005588237.2,XM_011749952.1,XM_011981812.1,XM_017645726.1,XM_013126321.1,XM_012758294.1,XM_005370918.2,XM_016219672.1,XM_007489059.2,XM_006531035.3,XM_013054079.1,XM_008855406.2,XM_012509286.1,XM_004595841.1,XM_004635623.1,XM_012561805.1,XM_012535879.1,XM_017340381.1,XM_012810122.1,XM_015095783.1,XM_014342530.1,XM_016935297.1,XM_003915043.3,xm_002828778.3,XM_012641397.1,xm_011384493.1,XM_006255281.3,xm_010361576.1,XM_016162120.1,xm_010352481.1,XM_012542077.1,XM_004616816.1,NM_213925.1,xm_012559510.1,XM_014592633.1,xm_004312278.1
ADGRF1,NM_153840.3,XM_015136509.1,xm_011224684.1,XM_012448825.1,XM_010818184.2,XM_002746602.3,xm_010994321.1,XM_014118504.1,XM_018039270.1,xm_008058462.1,XM_013156948.1,xm_004424046.2,XM_012070587.1,XM_005389875.2,xm_007972324.1,xm_006860611.1,XM_004673549.1,XM_016969943.1,XM_004452798.2,XM_013019125.1,XM_004696374.1,xm_006881926.1,xm_008153306.1,XM_005604072.2,XM_016185896.1,xm_006931791.2,xm_008592938.1,xm_004044147.1,XM_004846400.1,XM_005318859.1,XM_012947613.1,xm_003404152.2,XM_015449336.1,XM_011756898.1,XM_011986904.1,XM_017646233.1,XM_005072299.2,XM_012744835.1,XM_005359793.1,XM_016212703.1,,XM_006525121.3,XM_013061571.1,XM_017801571.1,xm_012499185.1,XM_004590531.1,XM_004624396.1,XM_004408447.1,XM_004267506.2,XM_008263018.2,XM_012804716.1,XM_012100782.2,XM_003833193.3,XM_001145329.4,XM_017957922.1,xm_002816963.3,XM_012664644.1,xm_011354791.1,XM_017603762.1,xm_010356510.1,XM_016158949.1,xm_010333978.1,XM_012549104.1,XM_004605841.1,nm_001206355.1,xm_004379533.1,XM_014588019.1,xm_004321865.1
ADGRF3,NM_153835.3,XM_015111891.1,xm_011235035.1,XM_012475534.1,XM_015465422.1,XM_017964021.1,xm_010991205.1,XM_014120417.1,XM_005687073.2,xm_008068206.1,XM_013155727.1,xm_014781499.1,XM_012044318.1,XM_013522571.1,xm_007971241.1,xm_006835296.1,XM_004695944.2,XM_003497022.2,XM_012525260.1,XM_013013624.1,XM_004696416.1,xm_006880705.1,xm_008162346.1,XM_005600154.2,XM_016192323.1,xm_006930448.2,xm_008581401.1,xm_004028958.1,XM_013070117.1,XM_013357351.1,XM_012949932.1,xm_010592041.1,XM_015433918.1,XM_011738070.1,XM_011972672.1,XM_017647621.1,XM_005073508.1,XM_012788169.1,,XM_016209204.1,XM_007475947.1,XM_006535737.3,XM_013050437.1,XM_008834998.1,XM_003270610.3,XM_012926200.1,XM_004627548.1,XM_004394942.1,XM_004286884.1,XM_008254656.2,XM_003787452.1,XM_015093872.1,XM_008952425.1,XM_016948194.1,XM_017948017.1,xm_009237470.1,XM_012652490.1,xm_011356615.1,XM_017594069.1,xm_010383028.1,,xm_010352346.1,,XM_012935074.1,XM_013996272.1,xm_012555890.1,XM_014593143.1,xm_004332442.1
ADGRF4,NM_153838.3,XM_015136512.1,xm_011224680.1,XM_012441522.1,XM_010818196.2,XM_008994549.1,xm_010995433.1,XM_538948.4,XM_005696388.3,xm_008062680.1,XM_013156583.1,xm_004424043.2,XM_012070491.1,XM_013516712.1,xm_007972319.1,xm_006860533.1,XM_004673552.1,XM_007626738.2,XM_004452793.2,xm_013019075.1,XM_004696372.1,xm_006882123.1,xm_008153301.1,XM_001502766.2,XM_007517848.1,xm_006931815.2,xm_008593081.1,xm_004044152.1,XM_004847139.1,XM_005318597.1,XM_004649432.1,xm_003404447.1,XM_005552786.2,XM_011756887.1,XM_011986878.1,XM_017654301.1,XM_005072437.2,XM_012744805.1,XM_013350980.1,XM_016212711.1,XM_007484052.2,NM_030067.2,XM_004739729.2,XM_017801573.1,XM_003254194.1,XM_004590426.1,XM_004624392.1,XM_004408451.2,,XM_002714479.3,XM_003789250.2,XM_012100800.2,XM_003833188.2,XM_003339135.2,XM_003897701.2,xm_003776850.2,XM_012664671.1,xm_011386968.1,XM_008757976.2,xm_010362815.1,XM_016158915.1,xm_003923092.2,,XM_004605953.2,XM_013996167.1,xm_004379571.1,XM_006149118.1,
ADGRF5,NM_015234.4,XM_015136507.1,xm_002919003.2,XM_012448812.1,NM_001193243.1,XM_008994542.1,xm_010994318.1,XM_532160.5,XM_005696381.3,xm_008058461.1,XM_013156773.1,xm_014782642.1,XM_012070636.1,XM_005389874.2,xm_007972325.1,xm_006860610.1,XM_004673548.2,XM_003506739.3,XM_004452803.2,XM_013019211.1,XM_004710885.1,xm_006882126.1,xm_008153212.1,XM_014734476.1,XM_016185898.1,xm_003986219.3,xm_008575970.1,xm_004044145.1,XM_004846407.2,XM_005318600.2,XM_012947614.1,xm_010588958.1,XM_005552798.2,XM_011756896.1,XM_011986872.1,XM_017680794.1,XM_013115025.1,XM_012744832.1,XM_005359794.1,XM_016212851.1,XM_007484031.2,NM_001081178.1,XM_013061623.1,XM_017801577.1,XM_003254202.2,XM_004590423.2,XM_004624397.1,XM_004408446.2,XM_004267507.1,XM_008263017.2,XM_012804678.1,XM_004018868.3,XM_003833195.2,XM_003311354.3,XM_003897697.3,xm_002816961.2,XM_012664682.1,xm_011354790.1,NM_139110.1,xm_010356508.1,XM_016158926.1,xm_003923086.2,XM_012549103.1,XM_004605840.1,XM_013978015.1,xm_004379531.1,XM_006149088.2,xm_004323970.1
