RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
NM_001267562,1390,cAMP responsive element modulator,"This gene encodes a bZIP transcription factor that binds to the cAMP responsive element found in many viral and cellular promoters. It is an important component of cAMP-mediated signal transduction during the spermatogenetic cycle, as well as other complex processes. Alternative promoter and translation initiation site usage allows this gene to exert spatial and temporal specificity to cAMP responsiveness. Multiple alternatively spliced transcript variants encoding several different isoforms have been found for this gene, with some of them functioning as activators and some as repressors of transcription.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1390"">https://www.ncbi.nlm.nih.gov/gene/1390</a>"
NM_001304782,56253,cytotoxic and regulatory T-cell molecule,"The CRTAM gene is upregulated in CD4 (see MIM 186940)-positive and CD8 (see CD8A; MIM 186910)-positive T cells and encodes a type I transmembrane protein with V and C1-like Ig domains (Yeh et al., 2008 [PubMed 18329370]).","<a href=""https://www.ncbi.nlm.nih.gov/gene/56253"">https://www.ncbi.nlm.nih.gov/gene/56253</a>"
NM_000394,1409,crystallin alpha A,"Mammalian lens crystallins are divided into alpha, beta, and gamma families. Alpha crystallins are composed of two gene products: alpha-A and alpha-B, for acidic and basic, respectively. Alpha crystallins can be induced by heat shock and are members of the small heat shock protein (HSP20) family. They act as molecular chaperones although they do not renature proteins and release them in the fashion of a true chaperone; instead they hold them in large soluble aggregates. Post-translational modifications decrease the ability to chaperone. These heterogeneous aggregates consist of 30-40 subunits; the alpha-A and alpha-B subunits have a 3:1 ratio, respectively. Two additional functions of alpha crystallins are an autokinase activity and participation in the intracellular architecture. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Alpha-A and alpha-B gene products are differentially expressed; alpha-A is preferentially restricted to the lens and alpha-B is expressed widely in many tissues and organs. Defects in this gene cause autosomal dominant congenital cataract (ADCC).","<a href=""https://www.ncbi.nlm.nih.gov/gene/1409"">https://www.ncbi.nlm.nih.gov/gene/1409</a>"
NM_001289807,1410,crystallin alpha B,"Mammalian lens crystallins are divided into alpha, beta, and gamma families. Alpha crystallins are composed of two gene products: alpha-A and alpha-B, for acidic and basic, respectively. Alpha crystallins can be induced by heat shock and are members of the small heat shock protein (HSP20) family. They act as molecular chaperones although they do not renature proteins and release them in the fashion of a true chaperone; instead they hold them in large soluble aggregates. Post-translational modifications decrease the ability to chaperone. These heterogeneous aggregates consist of 30-40 subunits; the alpha-A and alpha-B subunits have a 3:1 ratio, respectively. Two additional functions of alpha crystallins are an autokinase activity and participation in the intracellular architecture. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Alpha-A and alpha-B gene products are differentially expressed; alpha-A is preferentially restricted to the lens and alpha-B is expressed widely in many tissues and organs. Elevated expression of alpha-B crystallin occurs in many neurological diseases; a missense mutation cosegregated in a family with a desmin-related myopathy. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1410"">https://www.ncbi.nlm.nih.gov/gene/1410</a>"
NM_001014444,1428,crystallin mu,"Crystallins are separated into two classes: taxon-specific and ubiquitous. The former class is also called phylogenetically-restricted crystallins. The latter class constitutes the major proteins of vertebrate eye lens and maintains the transparency and refractive index of the lens. This gene encodes a taxon-specific crystallin protein that binds NADPH and has sequence similarity to bacterial ornithine cyclodeaminases. The encoded protein does not perform a structural role in lens tissue, and instead it binds thyroid hormone for possible regulatory or developmental roles. Mutations in this gene have been associated with autosomal dominant non-syndromic deafness.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1428"">https://www.ncbi.nlm.nih.gov/gene/1428</a>"
NM_001901,1490,connective tissue growth factor,"The protein encoded by this gene is a mitogen that is secreted by vascular endothelial cells. The encoded protein plays a role in chondrocyte proliferation and differentiation, cell adhesion in many cell types, and is related to platelet-derived growth factor. Certain polymorphisms in this gene have been linked with a higher incidence of systemic sclerosis.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1490"">https://www.ncbi.nlm.nih.gov/gene/1490</a>"
NM_001098209,1499,catenin beta 1,"The protein encoded by this gene is part of a complex of proteins that constitute adherens junctions (AJs). AJs are necessary for the creation and maintenance of epithelial cell layers by regulating cell growth and adhesion between cells. The encoded protein also anchors the actin cytoskeleton and may be responsible for transmitting the contact inhibition signal that causes cells to stop dividing once the epithelial sheet is complete. Finally, this protein binds to the product of the APC gene, which is mutated in adenomatous polyposis of the colon. Mutations in this gene are a cause of colorectal cancer (CRC), pilomatrixoma (PTR), medulloblastoma (MDB), and ovarian cancer. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1499"">https://www.ncbi.nlm.nih.gov/gene/1499</a>"
NM_001288715,1501,catenin delta 2,This gene encodes an adhesive junction associated protein of the armadillo/beta-catenin superfamily and is implicated in brain and eye development and cancer formation. The protein encoded by this gene promotes the disruption of E-cadherin based adherens junction to favor cell spreading upon stimulation by hepatocyte growth factor. This gene is overexpressed in prostate adenocarcinomas and is associated with decreased expression of tumor suppressor E-cadherin in this tissue. This gene resides in a region of the short arm of chromosome 5 that is deleted in Cri du Chat syndrome. Alternative splicing results in multiple transcript variants encoding different isoforms.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/1501"">https://www.ncbi.nlm.nih.gov/gene/1501</a>"
NM_001304392,6376,C-X3-C motif chemokine ligand 1,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/6376"">https://www.ncbi.nlm.nih.gov/gene/6376</a>"
NM_000609,6387,C-X-C motif chemokine ligand 12,"This antimicrobial gene encodes a stromal cell-derived alpha chemokine member of the intercrine family. The encoded protein functions as the ligand for the G-protein coupled receptor, chemokine (C-X-C motif) receptor 4, and plays a role in many diverse cellular functions, including embryogenesis, immune surveillance, inflammation response, tissue homeostasis, and tumor growth and metastasis. Mutations in this gene are associated with resistance to human immunodeficiency virus type 1 infections. Multiple transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6387"">https://www.ncbi.nlm.nih.gov/gene/6387</a>"
NM_001008540,7852,C-X-C motif chemokine receptor 4,"This gene encodes a CXC chemokine receptor specific for stromal cell-derived factor-1. The protein has 7 transmembrane regions and is located on the cell surface. It acts with the CD4 protein to support HIV entry into cells and is also highly expressed in breast cancer cells. Mutations in this gene have been associated with WHIM (warts, hypogammaglobulinemia, infections, and myelokathexis) syndrome. Alternate transcriptional splice variants, encoding different isoforms, have been characterized.","<a href=""https://www.ncbi.nlm.nih.gov/gene/7852"">https://www.ncbi.nlm.nih.gov/gene/7852</a>"
NM_000762,1548,cytochrome P450 family 2 subfamily A member 6,"This gene, CYP2A6, encodes a member of the cytochrome P450 superfamily of enzymes. The cytochrome P450 proteins are monooxygenases which catalyze many reactions involved in drug metabolism and synthesis of cholesterol, steroids and other lipids. This protein localizes to the endoplasmic reticulum and its expression is induced by phenobarbital. The enzyme is known to hydroxylate coumarin, and also metabolizes nicotine, aflatoxin B1, nitrosamines, and some pharmaceuticals. Individuals with certain allelic variants are said to have a poor metabolizer phenotype, meaning they do not efficiently metabolize coumarin or nicotine. This gene is part of a large cluster of cytochrome P450 genes from the CYP2A, CYP2B and CYP2F subfamilies on chromosome 19q. The gene was formerly referred to as CYP2A3; however, it has been renamed CYP2A6.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1548"">https://www.ncbi.nlm.nih.gov/gene/1548</a>"
NM_000787,1621,dopamine beta-hydroxylase,"The protein encoded by this gene is an oxidoreductase belonging to the copper type II, ascorbate-dependent monooxygenase family. It is present in the synaptic vesicles of postganglionic sympathetic neurons and converts dopamine to norepinephrine. It exists in both soluble and membrane-bound forms, depending on the absence or presence, respectively, of a signal peptide.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1621"">https://www.ncbi.nlm.nih.gov/gene/1621</a>"
NM_019058,54541,DNA damage inducible transcript 4,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/54541"">https://www.ncbi.nlm.nih.gov/gene/54541</a>"
NM_001038493,1745,distal-less homeobox 1,This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. The encoded protein is localized to the nucleus where it may function as a transcriptional regulator of signals from multiple TGF-{beta} superfamily members. The encoded protein may play a role in the control of craniofacial patterning and the differentiation and survival of inhibitory neurons in the forebrain. This gene is located in a tail-to-tail configuration with another member of the family on the long arm of chromosome 2. Alternatively spliced transcript variants encoding different isoforms have been described.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/1745"">https://www.ncbi.nlm.nih.gov/gene/1745</a>"
NM_015286,23336,synemin,"The protein encoded by this gene is an intermediate filament (IF) family member. IF proteins are cytoskeletal proteins that confer resistance to mechanical stress and are encoded by a dispersed multigene family. This protein has been found to form a linkage between desmin, which is a subunit of the IF network, and the extracellular matrix, and provides an important structural support in muscle. Two alternatively spliced variants encoding different isoforms have been described for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/23336"">https://www.ncbi.nlm.nih.gov/gene/23336</a>"
NM_001300914,3337,DnaJ heat shock protein family (Hsp40) member B1,"This gene encodes a member of the DnaJ or Hsp40 (heat shock protein 40 kD) family of proteins. DNAJ family members are characterized by a highly conserved amino acid stretch called the 'J-domain' and function as one of the two major classes of molecular chaperones involved in a wide range of cellular events, such as protein folding and oligomeric protein complex assembly. The encoded protein is a molecular chaperone that stimulates the ATPase activity of Hsp70 heat-shock proteins in order to promote protein folding and prevent misfolded protein aggregation. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/3337"">https://www.ncbi.nlm.nih.gov/gene/3337</a>"
NM_001330308,5977,double PHD fingers 2,"The protein encoded by this gene is a member of the d4 domain family, characterized by a zinc finger-like structural motif. This protein functions as a transcription factor which is necessary for the apoptotic response following deprivation of survival factors. It likely serves a regulatory role in rapid hematopoietic cell growth and turnover. This gene is considered a candidate gene for multiple endocrine neoplasia type I, an inherited cancer syndrome involving multiple parathyroid, enteropancreatic, and pituitary tumors.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5977"">https://www.ncbi.nlm.nih.gov/gene/5977</a>"
NM_000795,1813,dopamine receptor D2,"This gene encodes the D2 subtype of the dopamine receptor. This G-protein coupled receptor inhibits adenylyl cyclase activity. A missense mutation in this gene causes myoclonus dystonia; other mutations have been associated with schizophrenia. Alternative splicing of this gene results in two transcript variants encoding different isoforms. A third variant has been described, but it has not been determined whether this form is normal or due to aberrant splicing.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1813"">https://www.ncbi.nlm.nih.gov/gene/1813</a>"
NM_000796,1814,dopamine receptor D3,"This gene encodes the D3 subtype of the five (D1-D5) dopamine receptors. The activity of the D3 subtype receptor is mediated by G proteins which inhibit adenylyl cyclase. This receptor is localized to the limbic areas of the brain, which are associated with cognitive, emotional, and endocrine functions. Genetic variation in this gene may be associated with susceptibility to hereditary essential tremor 1. Alternative splicing of this gene results in transcript variants encoding different isoforms, although some variants may be subject to nonsense-mediated decay (NMD).","<a href=""https://www.ncbi.nlm.nih.gov/gene/1814"">https://www.ncbi.nlm.nih.gov/gene/1814</a>"
NM_000797,1815,dopamine receptor D4,"This gene encodes the D4 subtype of the dopamine receptor. The D4 subtype is a G-protein coupled receptor which inhibits adenylyl cyclase. It is a target for drugs which treat schizophrenia and Parkinson disease. Mutations in this gene have been associated with various behavioral phenotypes, including autonomic nervous system dysfunction, attention deficit/hyperactivity disorder, and the personality trait of novelty seeking. This gene contains a polymorphic number (2-10 copies) of tandem 48 nt repeats; the sequence shown contains four repeats.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1815"">https://www.ncbi.nlm.nih.gov/gene/1815</a>"
NM_001946,1848,dual specificity phosphatase 6,"The protein encoded by this gene is a member of the dual specificity protein phosphatase subfamily. These phosphatases inactivate their target kinases by dephosphorylating both the phosphoserine/threonine and phosphotyrosine residues. They negatively regulate members of the mitogen-activated protein (MAP) kinase superfamily (MAPK/ERK, SAPK/JNK, p38), which are associated with cellular proliferation and differentiation. Different members of the family of dual specificity phosphatases show distinct substrate specificities for various MAP kinases, different tissue distribution and subcellular localization, and different modes of inducibility of their expression by extracellular stimuli. This gene product inactivates ERK2, is expressed in a variety of tissues with the highest levels in heart and pancreas, and unlike most other members of this family, is localized in the cytoplasm. Mutations in this gene have been associated with congenital hypogonadotropic hypogonadism. Alternatively spliced transcript variants have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1848"">https://www.ncbi.nlm.nih.gov/gene/1848</a>"
NM_001401,1902,lysophosphatidic acid receptor 1,"The integral membrane protein encoded by this gene is a lysophosphatidic acid (LPA) receptor from a group known as EDG receptors. These receptors are members of the G protein-coupled receptor superfamily. Utilized by LPA for cell signaling, EDG receptors mediate diverse biologic functions, including proliferation, platelet aggregation, smooth muscle contraction, inhibition of neuroblastoma cell differentiation, chemotaxis, and tumor cell invasion. Two transcript variants encoding the same protein have been identified for this gene","<a href=""https://www.ncbi.nlm.nih.gov/gene/1902"">https://www.ncbi.nlm.nih.gov/gene/1902</a>"
NM_001964,1958,early growth response 1,The protein encoded by this gene belongs to the EGR family of C2H2-type zinc-finger proteins. It is a nuclear protein and functions as a transcriptional regulator. The products of target genes it activates are required for differentitation and mitogenesis. Studies suggest this is a cancer suppressor gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/1958"">https://www.ncbi.nlm.nih.gov/gene/1958</a>"
NM_000399,1959,early growth response 2,"The protein encoded by this gene is a transcription factor with three tandem C2H2-type zinc fingers. Defects in this gene are associated with Charcot-Marie-Tooth disease type 1D (CMT1D), Charcot-Marie-Tooth disease type 4E (CMT4E), and with Dejerine-Sottas syndrome (DSS). Multiple transcript variants encoding two different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1959"">https://www.ncbi.nlm.nih.gov/gene/1959</a>"
NM_001423,2012,epithelial membrane protein 1,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/2012"">https://www.ncbi.nlm.nih.gov/gene/2012</a>"
NM_001201483,2023,enolase 1,"This gene encodes alpha-enolase, one of three enolase isoenzymes found in mammals. Each isoenzyme is a homodimer composed of 2 alpha, 2 gamma, or 2 beta subunits, and functions as a glycolytic enzyme. Alpha-enolase in addition, functions as a structural lens protein (tau-crystallin) in the monomeric form. Alternative splicing of this gene results in a shorter isoform that has been shown to bind to the c-myc promoter and function as a tumor suppressor. Several pseudogenes have been identified, including one on the long arm of chromosome 1. Alpha-enolase has also been identified as an autoantigen in Hashimoto encephalopathy.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2023"">https://www.ncbi.nlm.nih.gov/gene/2023</a>"
NM_001975,2026,enolase 2,"This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme, a homodimer, is found in mature neurons and cells of neuronal origin. A switch from alpha enolase to gamma enolase occurs in neural tissue during development in rats and primates.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2026"">https://www.ncbi.nlm.nih.gov/gene/2026</a>"
NM_001193503,2027,enolase 3,This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme is found in skeletal muscle cells in the adult where it may play a role in muscle development and regeneration. A switch from alpha enolase to beta enolase occurs in muscle tissue during development in rodents. Mutations in this gene have be associated glycogen storage disease. Alternatively spliced transcript variants encoding different isoforms have been described.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/2027"">https://www.ncbi.nlm.nih.gov/gene/2027</a>"
NM_001040092,5168,ectonucleotide pyrophosphatase/phosphodiesterase 2,"The protein encoded by this gene functions as both a phosphodiesterase, which cleaves phosphodiester bonds at the 5' end of oligonucleotides, and a phospholipase, which catalyzes production of lysophosphatidic acid (LPA) in extracellular fluids. LPA evokes growth factor-like responses including stimulation of cell proliferation and chemotaxis. This gene product stimulates the motility of tumor cells and has angiogenic properties, and its expression is upregulated in several kinds of carcinomas. The gene product is secreted and further processed to make the biologically active form. Several alternatively spliced transcript variants encoding different isoforms have been identified.","<a href=""https://www.ncbi.nlm.nih.gov/gene/5168"">https://www.ncbi.nlm.nih.gov/gene/5168</a>"
NM_000502,8288,eosinophil peroxidase,"This gene is a member of the peroxidase gene family and is expressed in eosinophils. The encoded preproprotein is proteolytically processed into covalently attached heavy and light chains to form the mature enzyme, which functions as an oxidant. The enzyme is released at sites of parasitic infection or allergen stimulation to mediate lysis of protozoa or parasitic worms. The gene is found in a gene cluster with other peroxidase genes on chromosome 17. Mutations in this gene result in eosinophil peroxidase deficiency.","<a href=""https://www.ncbi.nlm.nih.gov/gene/8288"">https://www.ncbi.nlm.nih.gov/gene/8288</a>"
NM_001005915,2065,erb-b2 receptor tyrosine kinase 3,"This gene encodes a member of the epidermal growth factor receptor (EGFR) family of receptor tyrosine kinases. This membrane-bound protein has a neuregulin binding domain but not an active kinase domain. It therefore can bind this ligand but not convey the signal into the cell through protein phosphorylation. However, it does form heterodimers with other EGF receptor family members which do have kinase activity. Heterodimerization leads to the activation of pathways which lead to cell proliferation or differentiation. Amplification of this gene and/or overexpression of its protein have been reported in numerous cancers, including prostate, bladder, and breast tumors. Alternate transcriptional splice variants encoding different isoforms have been characterized. One isoform lacks the intermembrane region and is secreted outside the cell. This form acts to modulate the activity of the membrane-bound form. Additional splice variants have also been reported, but they have not been thoroughly characterized.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2065"">https://www.ncbi.nlm.nih.gov/gene/2065</a>"
NM_018948,54206,ERBB receptor feedback inhibitor 1,"ERRFI1 is a cytoplasmic protein whose expression is upregulated with cell growth (Wick et al., 1995 [PubMed 7641805]). It shares significant homology with the protein product of rat gene-33, which is induced during cell stress and mediates cell signaling (Makkinje et al., 2000 [PubMed 10749885]; Fiorentino et al., 2000 [PubMed 11003669]).","<a href=""https://www.ncbi.nlm.nih.gov/gene/54206"">https://www.ncbi.nlm.nih.gov/gene/54206</a>"
NM_004454,2119,ETS variant 5,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/2119"">https://www.ncbi.nlm.nih.gov/gene/2119</a>"
NM_001441,2166,fatty acid amide hydrolase,"This gene encodes a protein that is responsible for the hydrolysis of a number of primary and secondary fatty acid amides, including the neuromodulatory compounds anandamide and oleamide.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2166"">https://www.ncbi.nlm.nih.gov/gene/2166</a>"
NM_001319039,2173,fatty acid binding protein 7,"The gene encodes a small, highly conserved cytoplasmic protein that bind long-chain fatty acids and other hydrophobic ligands. The encoded protein is important in the establishment of the radial glial fiber in the developing brain. Alternative splicing and promoter usage results in multiple transcript variants encoding different isoforms. Pseudogenes of this gene are found on multiple chromosomes.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2173"">https://www.ncbi.nlm.nih.gov/gene/2173</a>"
NM_182705,359845,refilin B,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/359845"">https://www.ncbi.nlm.nih.gov/gene/359845</a>"
NM_001076778,11170,family with sequence similarity 107 member A,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/11170"">https://www.ncbi.nlm.nih.gov/gene/11170</a>"
NM_002006,2247,fibroblast growth factor 2,"The protein encoded by this gene is a member of the fibroblast growth factor (FGF) family. FGF family members bind heparin and possess broad mitogenic and angiogenic activities. This protein has been implicated in diverse biological processes, such as limb and nervous system development, wound healing, and tumor growth. The mRNA for this gene contains multiple polyadenylation sites, and is alternatively translated from non-AUG (CUG) and AUG initiation codons, resulting in five different isoforms with distinct properties. The CUG-initiated isoforms are localized in the nucleus and are responsible for the intracrine effect, whereas, the AUG-initiated form is mostly cytosolic and is responsible for the paracrine and autocrine effects of this FGF.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2247"">https://www.ncbi.nlm.nih.gov/gene/2247</a>"
NM_001145775,2289,FK506 binding protein 5,"The protein encoded by this gene is a member of the immunophilin protein family, which play a role in immunoregulation and basic cellular processes involving protein folding and trafficking. This encoded protein is a cis-trans prolyl isomerase that binds to the immunosuppressants FK506 and rapamycin. It is thought to mediate calcineurin inhibition. It also interacts functionally with mature hetero-oligomeric progesterone receptor complexes along with the 90 kDa heat shock protein and P23 protein. This gene has been found to have multiple polyadenylation sites. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2289"">https://www.ncbi.nlm.nih.gov/gene/2289</a>"
NM_018352,55319,translation machinery associated 16 homolog,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/55319"">https://www.ncbi.nlm.nih.gov/gene/55319</a>"
NM_001306129,2335,fibronectin 1,"This gene encodes fibronectin, a glycoprotein present in a soluble dimeric form in plasma, and in a dimeric or multimeric form at the cell surface and in extracellular matrix. The encoded preproprotein is proteolytically processed to generate the mature protein. Fibronectin is involved in cell adhesion and migration processes including embryogenesis, wound healing, blood coagulation, host defense, and metastasis. The gene has three regions subject to alternative splicing, with the potential to produce 20 different transcript variants, at least one of which encodes an isoform that undergoes proteolytic processing. The full-length nature of some variants has not been determined.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2335"">https://www.ncbi.nlm.nih.gov/gene/2335</a>"
NM_005252,2353,"Fos proto-oncogene, AP-1 transcription factor subunit","The Fos gene family consists of 4 members: FOS, FOSB, FOSL1, and FOSL2.  These genes encode leucine zipper proteins that can dimerize with proteins of the JUN family, thereby forming the transcription factor complex AP-1.  As such, the FOS proteins have been implicated as regulators of cell proliferation, differentiation, and transformation.  In some cases, expression of the FOS gene has also been associated with apoptotic cell death.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2353"">https://www.ncbi.nlm.nih.gov/gene/2353</a>"
NM_001114171,2354,"FosB proto-oncogene, AP-1 transcription factor subunit","The Fos gene family consists of 4 members: FOS, FOSB, FOSL1, and FOSL2. These genes encode leucine zipper proteins that can dimerize with proteins of the JUN family, thereby forming the transcription factor complex AP-1. As such, the FOS proteins have been implicated as regulators of cell proliferation, differentiation, and transformation. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2354"">https://www.ncbi.nlm.nih.gov/gene/2354</a>"
NM_001012505,27086,forkhead box P1,This gene belongs to subfamily P of the forkhead box (FOX) transcription factor family. Forkhead box transcription factors play important roles in the regulation of tissue- and cell type-specific gene transcription during both development and adulthood. Forkhead box P1 protein contains both DNA-binding- and protein-protein binding-domains. This gene may act as a tumor suppressor as it is lost in several tumor types and maps to a chromosomal region (3p14.1) reported to contain a tumor suppressor gene(s). Alternative splicing results in multiple transcript variants encoding different isoforms.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/27086"">https://www.ncbi.nlm.nih.gov/gene/27086</a>"
NM_002030,2359,formyl peptide receptor 3,,"<a href=""https://www.ncbi.nlm.nih.gov/gene/2359"">https://www.ncbi.nlm.nih.gov/gene/2359</a>"
NM_003088,6624,fascin actin-bundling protein 1,"This gene encodes a member of the fascin family of actin-binding proteins. Fascin proteins organize F-actin into parallel bundles, and are required for the formation of actin-based cellular protrusions. The encoded protein plays a critical role in cell migration, motility, adhesion and cellular interactions. Expression of this gene is known to be regulated by several microRNAs, and overexpression of this gene may play a role in the metastasis of multiple types of cancer by increasing cell motility. Expression of this gene is also a marker for Reed-Sternberg cells in Hodgkin's lymphoma. A pseudogene of this gene is located on the long arm of chromosome 15.","<a href=""https://www.ncbi.nlm.nih.gov/gene/6624"">https://www.ncbi.nlm.nih.gov/gene/6624</a>"
NM_001191005,10772,serine and arginine rich splicing factor 10,"This gene product is a member of the serine-arginine (SR) family of proteins, which are involved in constitutive and regulated RNA splicing. Members of this family are characterized by N-terminal RNP1 and RNP2 motifs, which are required for binding to RNA, and multiple C-terminal SR/RS repeats, which are important in mediating association with other cellular proteins. This protein interacts with the oncoprotein TLS, and abrogates the influence of TLS on adenovirus E1A pre-mRNA splicing. This gene has pseudogenes on chromosomes 4, 9, 14, 18, and 20. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/10772"">https://www.ncbi.nlm.nih.gov/gene/10772</a>"
NM_003508,8326,frizzled class receptor 9,"Members of the 'frizzled' gene family encode 7-transmembrane domain proteins that are receptors for Wnt signaling proteins.  The FZD9 gene is located within the Williams syndrome common deletion region of chromosome 7, and heterozygous deletion of the FZD9 gene may contribute to the Williams syndrome phenotype.  FZD9 is expressed predominantly in brain, testis, eye, skeletal muscle, and kidney.","<a href=""https://www.ncbi.nlm.nih.gov/gene/8326"">https://www.ncbi.nlm.nih.gov/gene/8326</a>"
NM_000152,2548,"glucosidase alpha, acid","This gene encodes lysosomal alpha-glucosidase, which is essential for the degradation of glycogen to glucose in lysosomes. The encoded preproprotein is proteolytically processed to generate multiple intermediate forms and the mature form of the enzyme. Defects in this gene are the cause of glycogen storage disease II, also known as Pompe's disease, which is an autosomal recessive disorder with a broad clinical spectrum. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2548"">https://www.ncbi.nlm.nih.gov/gene/2548</a>"
NM_001319053,2550,gamma-aminobutyric acid type B receptor subunit 1,"This gene encodes a receptor for gamma-aminobutyric acid (GABA), which is the main inhibitory neurotransmitter in the mammalian central nervous system. This receptor functions as a heterodimer with GABA(B) receptor 2. Defects in this gene may underlie brain disorders such as schizophrenia and epilepsy. Alternative splicing generates multiple transcript variants, but the full-length nature of some of these variants has not been determined.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2550"">https://www.ncbi.nlm.nih.gov/gene/2550</a>"
NM_005458,9568,gamma-aminobutyric acid type B receptor subunit 2,"The multi-pass membrane protein encoded by this gene belongs to the G-protein coupled receptor 3 family and GABA-B receptor subfamily. The GABA-B receptors inhibit neuronal activity through G protein-coupled second-messenger systems, which regulate the release of neurotransmitters, and the activity of ion channels and adenylyl cyclase. This receptor subunit forms an active heterodimeric complex with GABA-B receptor subunit 1, neither of which is effective on its own. Allelic variants of this gene have been associated with nicotine dependence.","<a href=""https://www.ncbi.nlm.nih.gov/gene/9568"">https://www.ncbi.nlm.nih.gov/gene/9568</a>"
NM_000812,2560,gamma-aminobutyric acid type A receptor beta1 subunit,"The gamma-aminobutyric acid (GABA) A receptor is a multisubunit chloride channel that mediates the fastest inhibitory synaptic transmission in the central nervous system. This gene encodes GABA A receptor, beta 1 subunit. It is mapped to chromosome 4p12 in a cluster comprised of genes encoding alpha 4, alpha 2 and gamma 1 subunits of the GABA A receptor. Alteration of this gene is implicated in the pathogenetics of schizophrenia.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2560"">https://www.ncbi.nlm.nih.gov/gene/2560</a>"
NM_173536,2565,gamma-aminobutyric acid type A receptor gamma1 subunit,The protein encoded by this gene belongs to the ligand-gated ionic channel family. It is an integral membrane protein and plays an important role in inhibiting neurotransmission by binding to the benzodiazepine receptor and opening an integral chloride channel. This gene is clustered with three other family members on chromosome 4.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/2565"">https://www.ncbi.nlm.nih.gov/gene/2565</a>"
NM_000816,2566,gamma-aminobutyric acid type A receptor gamma2 subunit,"This gene encodes a gamma-aminobutyric acid (GABA) receptor. GABA is the major inhibitory neurotransmitter in the mammlian brain, where it acts at GABA-A receptors, which are ligand-gated chloride channels. GABA-A receptors are pentameric, consisting of proteins from several subunit classes: alpha, beta, gamma, delta and rho. Mutations in this gene have been associated with epilepsy and febrile seizures. Multiple transcript variants encoding different isoforms have been identified for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/2566"">https://www.ncbi.nlm.nih.gov/gene/2566</a>"
